수질측정망 현황,,,,,,,,,,,,,,
측정소명,구분,조사년월,수온(℃),pH,DO(㎎/L),BOD(㎎/L),TOC(㎎/L),SS(㎎/L),총인(T-P)(㎎/L),총질소(T-N)(㎎/L),총대장균군수(총대장균군수),분원성대장균군(㎎/L),수질통합지수 등급,조사기관
노량진,,20160601,24.3,7.1,6.4,2.1,3.9,12.3,0.18,4.39,610,210,,
안양천9,,20160601,28.9,7.7,9.9,2.6,7.2,5.7,0.19,11.27,370,260,,
중랑천3,,20160601,26.1,7.6,10.5,1.5,4.8,8.5,0.16,7.62,,,,
고덕천,,20160601,22.3,8.1,9.3,5.4,2,40,0.06,2.82,40000,500,,
도림천,,20160601,22.3,8.2,10.3,1.1,2.3,1.6,0.07,2.32,5000,1400,,
목감천1,,20160601,24,8,10.2,1.7,4.2,3.7,0.29,6.91,48000,2100,,
성내천,,20160601,22.8,7.8,5.5,3.8,2.7,5.3,0.13,2.46,30000,2000,,
성북천,,20160601,24.5,7.8,14.1,0.6,1.3,1.2,0.03,2.4,1400,50,,
안양천10,,20160601,24.9,7.8,6.3,3.1,3.3,17.3,0.11,6.19,9000,150,,
양재천2,,20160601,22.7,8.1,9.3,0.7,2.3,2.9,0.15,5.48,60000,1000,,
우이천,,20160601,25.4,8.6,10.5,0.7,1.9,3.1,0.03,5.71,1400,150,,
정릉천,,20160601,22.3,8.1,10.7,0.3,0.9,0.9,0.06,6.47,13000,3000,,
중랑천4,,20160601,25.8,8,11.3,1.4,3.1,1.9,0.03,7.59,90000,1000,,
중랑천5,,20160601,24,8.1,9,1.7,2.5,6,0.03,6.83,44000,600,,
중랑천6,,20160601,26.3,7.7,6.1,2.1,4.3,3.8,0.17,15.23,300000,20000,,
청계천1,,20160601,21.8,7.7,9.2,0.1,1.2,0.2,0.03,1.56,200,0,,
청계천2,,20160601,24.6,8.2,10.1,0.2,1.3,1.5,0,1.54,8400,210,,
청계천3,,20160601,26.7,8,8.9,0.5,1.4,7.4,0.04,1.64,800,64,,
탄천6,,20160601,24.8,7.9,7.5,1.7,4.2,2.7,0.08,7.92,68000,7000,,
성북천,,20160501,25.1,7.8,12.8,1.2,1.5,0.9,0.04,3.27,3600,90,,
성내천,,20160501,20.9,7.5,3,12.5,2.9,6.1,0.15,2.87,20000,3200,,
암사,,20160501,19.9,8.2,11.2,0.9,1.6,3.6,0.04,2.21,3300,42,,
우이천,,20160501,22.5,7.8,10.2,1.1,1.5,2,0.03,4.32,18000,350,,
양재천2,,20160501,23.8,7.6,7.9,2.4,3.9,9,0.3,5.14,,,,
영등포,,20160501,21.3,7.9,9.6,2.9,2.7,6,0.08,3.31,8900,580,,
잠실,,20160501,19,8.4,11.4,1.1,1.9,5.4,0.02,2.23,3800,150,,
정릉천,,20160501,19.4,7.9,9,0.9,1.3,6.5,0.08,5.21,22000,1100,,
중랑천4,,20160501,24.7,7.7,10.1,1.1,2.3,3.1,0.04,5.08,50000,1100,,
중랑천5,,20160501,21.4,7.7,7.7,9.3,2.4,3.3,0.06,4.84,11000,7000,,
중랑천6,,20160501,23.4,7.2,5.9,10.7,4.3,4,0.19,11.87,500000,60000,,
청계천1,,20160501,20,8.1,10.6,0.3,1.2,0.8,0.02,2.14,39,6,,
청계천2,,20160501,23,8,9.5,1.1,1.2,1.5,0.03,2.3,4700,2000,,
청계천3,,20160501,25.3,8,8,1.6,1.6,3.4,0.03,2.13,8400,2500,,
초이천,,20160501,23.6,7.9,7.5,3.8,4.1,4,0.18,4.13,,,,
탄천6,,20160501,21.9,7.8,7.8,2,3.8,2.7,0.15,6.76,60000,9000,,
홍제천,,20160501,20.2,8,9.3,2.3,1.9,5.3,0.05,9.03,14000,1200,,
구의,,20160501,20.5,8.4,11.1,2.1,3,4.5,0.02,2.26,25,8,,
노량진,,20160501,18,7.8,10.2,3,4.8,7,0.09,3.29,2000,500,,
안양천9,,20160501,23.6,7.4,7.7,3.6,6.8,10.3,0.16,10.97,6700,1800,,
중랑천3,,20160501,22.6,7.5,9.4,2.1,5.3,9.2,0.13,6.36,,,,
가양,,20160501,18.7,7.8,9.7,1.7,2.3,9.5,0.07,3.24,12000,850,,
감이천,,20160501,16.2,7.9,8.6,5.2,8.3,47.7,0.22,3.89,,,,
망월천,,20160501,17.4,8.3,8.8,4.9,5.4,81,0.25,6.69,,,,
목감천-1,,20160501,17.5,7.4,6.4,5.9,7.9,17.4,0.21,5.8,,,,
양재천2,,20160501,17.3,7.7,7.4,5.4,6.7,96,0.89,7.1,,,,
초이천,,20160501,16.6,8.2,8.6,7.8,8.1,194,0.32,4.7,,,,
구의,,20160501,15.5,8.4,10.3,1.9,3.9,8.8,0.03,2.3,,,,
노량진,,20160501,16.1,7.6,8.1,4.8,5.1,11.3,0.14,3.68,630000,160000,,
안양천9,,20160501,19,7.4,7.7,3,7.3,19,0.18,6.28,,,,
중랑천3,,20160501,17.6,7.5,8.5,5.2,6.1,22.3,0.21,6.11,,,,
목감천-1,,20160501,16,7.6,6.1,9,11.3,67,0.27,4.43,,,,
가양,,20160501,19.4,8.4,13,2.6,2.6,9.6,0.07,4.19,5500,81,,
감이천,,20160501,16.2,7.9,8.6,4.7,5.7,4.8,0.07,2.44,,,,
망월천,,20160501,17.4,8.3,8.8,3,4.2,44.3,0.11,7.14,,,,
양재천2,,20160501,17.3,7.7,7.4,5.4,6.5,27.7,0.42,6.02,,,,
초이천,,20160501,16.6,8.2,8.6,3.8,5.6,6.6,0.22,4.18,,,,
구의,,20160501,20.1,8.2,11.2,2.1,3.3,7.2,0.11,2.05,,,,
노량진,,20160501,21.1,7.4,7.4,2.7,3.7,9.7,0.15,3.13,26000,4000,,
안양천9,,20160501,23.1,7.3,5.7,5.7,6.2,8.7,0.19,8.9,,,,
중랑천3,,20160501,19.7,7.3,8.4,2.4,4,7.7,0.17,7,,,,
가양,,20160501,21.3,7.8,7.8,3.1,2.6,30.4,0.09,2.86,9600,3700,,
감이천,,20160501,19.2,7.8,8.1,3.7,5.8,13.4,0.16,3.15,,,,
망월천,,20160501,19.6,7.4,7.6,4.8,5.1,106,0.2,4.78,,,,
목감천-1,,20160501,19.1,7.5,4.7,10,10.6,58,0.44,3.99,,,,
양재천2,,20160501,19.5,7.6,6.5,11,11.3,64.6,0.64,4.94,,,,
초이천,,20160501,19.1,7.9,6.5,5.8,6.9,97,0.37,5.74,,,,
구의,,20160501,21.9,8.5,12.5,2,3.3,5.2,0.02,1.8,,,,
노량진,,20160501,20.8,8,10.8,2.9,4.3,9.3,0.07,2.58,3900,800,,
안양천9,,20160501,26.7,7.3,7.2,4.2,8,13.7,0.15,9.22,,,,
중랑천3,,20160501,23.2,7.5,9.6,1.3,4.5,9.7,0.12,5.92,,,,
가양,,20160501,21.7,7.7,9.7,2.7,2.6,5.6,0.08,3.7,25000,760,,
감이천,,20160501,23.1,8.3,10.4,1.4,3.7,1.4,0.01,2.85,,,,
고덕천,,20160501,20.3,8.2,12,1.4,1.7,3.4,0.08,2.61,140000,4000,,
도림천,,20160501,17.7,7.9,9.9,1.2,1.5,1.5,0.03,2.84,43000,2700,,
뚝도,,20160501,21.2,8.1,9.6,1,1.9,4.8,0.04,2.44,5300,120,,
망월천,,20160501,26.3,9.3,12.7,2.4,3.7,19.2,0.15,5.45,,,,
목감천1,,20160501,21.6,7.8,8.7,2.3,4.2,2.7,0.18,6.92,310000,3000,,
목감천-1,,20160501,25,7.6,10,2.9,6.5,8,0.15,6.07,,,,
보광,,20160501,20.8,7.8,9.4,1.1,2.1,6.4,0.04,2.49,6700,540,,
안양천10,,20160501,20.7,7.5,5.4,8.1,4,5.7,0.09,7.53,25000,3500,,
노량진,,20160401,14.2,7.5,9.8,4.2,5.2,9.7,0.11,6.04,200000,13000,,
보광,,20160401,15.3,7.7,10.4,3.4,2.4,7.2,0.06,4.52,68000,3300,,
중랑천3,,20160401,18.7,7.4,10.5,5.8,7.4,14.5,0.21,7.74,,,,
가양,,20160401,14.4,7.2,11.7,4.1,2,12.3,0.09,5.85,2200,9,,
감이천,,20160401,19,9,15.6,3.5,4.9,5.4,0.11,2.9,,,,
고덕천,,20160401,12.6,8,9.6,3.7,2.8,5.6,0.19,5.38,34000,500,,
도림천,,20160401,12,8,10.8,2.8,3.3,3.1,0.08,4.63,7000,90,,
망월천,,20160401,15.4,9.5,15,3.5,3.9,5.4,0.13,4.99,,,,
목감천1,,20160401,14,7.9,11.1,3.4,5.5,7.2,0.21,8.1,80000,300,,
목감천-1,,20160401,18.2,7.6,10.8,3.8,9.4,13.5,0.21,7.77,,,,
성내천,,20160401,12.7,7.7,8.1,3.1,2.6,23.7,0.04,2.68,6000,22,,
성북천,,20160401,17.3,7.7,13.7,1.2,1.3,4.2,0.02,3.17,900,20,,
안양천10,,20160401,14.8,7.6,7,5,6.6,4.3,0.12,16.4,8000,700,,
중랑천4,,20160401,16.8,7.7,11,1.9,4.4,6.6,0.08,7.56,18000,40,,
양재천2,,20160401,16.4,7.4,10.2,2.7,4.8,8,0.14,5.76,,,,
우이천,,20160401,16.9,8.8,12.8,1.2,2.6,4.2,0.02,6.78,160,17,,
정릉천,,20160401,15.6,9.1,18.5,1.5,1,0.9,0.01,6.03,6000,900,,
중랑천5,,20160401,14.1,7.8,9.9,1.3,3.3,4.8,0.03,6.81,9000,100,,
중랑천6,,20160401,18,7.3,7.9,22.7,6.8,4.4,0.57,16.12,500000,21000,,
청계천1,,20160401,11.7,7.9,11.2,0.6,1.3,1.3,0.01,2.77,2,0,,
청계천2,,20160401,14.6,8.1,11.4,0.8,1.4,0.7,0.01,2.92,1800,15,,
청계천3,,20160401,16,8.1,11,2.3,1.9,3.9,0.04,3.5,1100,45,,
초이천,,20160401,14,8.5,10.7,2.3,2.7,15.8,0.07,3.76,,,,
탄천6,,20160401,15.5,7.3,9.4,1.8,5.1,3.1,0.09,9.93,19000,40,,
홍제천,,20160401,15.4,8.6,14.8,1.9,2,3.6,0.04,6.89,1200,40,,
감이천,,20160401,16.8,9.1,16.1,3,6,6.4,0.11,3.77,,,,
안양천9,,20160401,16.3,7.9,8.9,7.8,11,15.3,0.24,22.32,,,,
암사,,20160401,14,7.7,12.3,1.6,2,5.7,0.03,2.89,590,24,,
영등포,,20160401,15.5,7.6,10.2,2.7,2.4,9,0.07,4.36,3700,210,,
잠실,,20160401,13.6,7.8,10.3,1.4,2,5,0.02,2.63,220,5,,
중랑천3,,20160401,20.6,7.6,10.7,3.5,6.5,8.3,0.17,8.34,,,,
구의,,20160401,13.6,8.2,12.3,2.8,3.8,8,0.03,2.91,440,210,,
구의,,20160401,15.1,8.7,12.2,2.8,4,9,0.04,2.78,,,,
노량진,,20160401,16.1,7.7,7.7,3.8,4.5,12.3,0.11,4.19,200000,20000,,
안양천9,,20160401,17.6,7.3,7.8,7.1,8.1,13.7,0.16,16.52,,,,
중랑천3,,20160401,18.3,7.5,8.2,2.5,5.3,6.5,0.12,6.88,,,,
감이천,,20160401,26.9,8.8,13.2,3.8,5.3,7,0.09,2.98,,,,
망월천,,20160401,24.4,9.1,14.3,2.7,3.7,57.6,0.14,7.49,,,,
목감천-1,,20160401,23.7,7.8,10.7,3.6,8.3,10.4,0.21,7.45,,,,
양재천2,,20160401,22,8.3,11.7,4.7,4.8,24.2,0.26,4.82,,,,
초이천,,20160401,21.7,8.6,11.2,4.8,5.1,6.8,0.13,3.73,,,,
가양,,20160401,18.2,8.6,11.1,3,2.7,8,0.05,3.04,4800,88,,
구의,,20160401,13.8,8.5,11.7,2,3.8,9.3,0.04,2.55,,,,
노량진,,20160401,15,7.8,9.1,2.8,4,9,0.08,3.6,21000,2000,,
안양천9,,20160401,16.4,7.5,7.3,11.1,12.5,37.3,0.39,16.82,,,,
중랑천3,,20160401,15.7,7.4,7.7,7.3,8.3,23,0.36,7.07,,,,
가양,,20160401,16.3,7,12.5,4.7,2.6,12.4,0.12,4.46,35000,3000,,
감이천,,20160401,18.3,8.3,11.8,4.3,5,5.2,0.11,3.53,,,,
망월천,,20160401,19.7,9.2,12.5,3.5,4.8,59.8,0.17,5.23,,,,
목감천-1,,20160401,18.9,7.3,10.8,4.2,7,11.1,0.19,6.05,,,,
양재천2,,20160401,18.1,7.8,10,3.5,5,29.2,0.28,5.91,,,,
초이천,,20160401,17.5,7.8,8.7,4.5,4.9,7.2,0.17,5.06,,,,
가양,,20160401,15.3,7.8,10.2,2.7,2.9,11.8,0.08,4.66,1500,13,,
구의,,20160401,14.5,8.5,12.3,2.4,3.1,4.7,0.03,2.94,,,,
노량진,,20160401,15.1,7.5,9.7,3.9,4.9,9,0.13,5.47,7800,3900,,
뚝도,,20160401,14.7,7.7,11,2.3,2,9.6,0.05,3.16,7400,410,,
안양천9,,20160401,18.5,6.9,4.1,9.6,18.6,38,0.89,23.71,2800000,800000,,
정릉천,,20160301,8.9,7.8,10.8,1,1.1,0.9,0.06,7.32,2300,900,,
우이천,,20160301,7.3,7.8,12.6,0.9,2,0.5,0.04,7.89,600,7,,
중랑천5,,20160301,6.1,7.7,11.4,1.2,3.1,1.6,0.05,7.75,3000,12,,
중랑천6,,20160301,12,7.2,9.6,6.6,5.5,5.4,0.69,15.41,480000,2000,,
청계천1,,20160301,5.4,8.1,12.8,1.3,1.7,1.8,0.01,3.69,260,28,,
청계천2,,20160301,6.2,8.1,12.5,1.3,1.5,1.2,0.01,3.75,1700,270,,
청계천3,,20160301,7.1,7.8,12.3,1.9,1.8,0.9,0.05,4.64,1700,42,,
탄천6,,20160301,8.5,7.4,10.3,1.9,4.8,5.2,0.13,9.61,5000,100,,
홍제천,,20160301,7.9,8.2,12.3,6.3,1.9,2.3,0.03,12.73,20000,800,,
가양,,20160301,7.2,8,13.4,2.7,2.7,13,0.06,4.3,72000,620,,
구의,,20160301,5.8,7.6,12.7,1.9,3.2,3.8,0.03,3.91,,,,
노량진,,20160301,8.8,7.3,13.1,5.7,6.8,10,0.25,12.76,48000,3700,,
안양천9,,20160301,13.1,7.7,9.5,8.3,9,8,0.16,20.48,,,,
중랑천3,,20160301,14.1,7.2,13.8,4.7,5.9,9.7,0.19,9.19,,,,
가양,,20160301,5,8.2,13.9,5.6,3.9,12.7,0.13,8.87,3800,36,,
구의,,20160301,12.6,8.2,13.4,2.4,3.6,6.3,0.03,3.29,,,,
노량진,,20160301,12.7,7.7,13,5.1,5.6,11.7,0.12,6.53,6000,1600,,
안양천9,,20160301,16.4,7.3,9.3,9.4,9,11.7,0.14,21.18,,,,
중랑천3,,20160301,16.3,7.5,12.6,4.9,6.2,9.7,0.17,8.65,,,,
가양,,20160301,12.6,8.3,14,5.9,3.3,14.3,0.1,4.9,3900,9,,
구의,,20160301,9.5,8.8,14.1,4.1,4.5,9.3,0.04,3.5,,,,
노량진,,20160301,10.5,8.1,14.7,5.1,6.2,17.7,0.12,5.24,3100,450,,
안양천9,,20160301,14.3,7.9,9.9,4.5,9.1,8.3,0.13,18.61,,,,
중랑천3,,20160301,15.4,7.7,13,3.7,5.9,7.7,0.15,8.9,,,,
가양,,20160301,10.8,8.3,12.8,4.7,3.4,19.7,0.08,5.3,6900,33,,
구의,,20160301,10.2,8.2,13.3,2.8,3.7,8.5,0.05,3.34,,,,
노량진,,20160301,9.3,7.7,12.7,3.9,4.7,9.8,0.14,6.36,32000,6600,,
안양천9,,20160301,14.9,7.7,9.2,9.8,8.3,20,0.17,22.03,,,,
중랑천3,,20160301,15.1,7.4,12,3.6,5.4,5.8,0.14,7.93,,,,
가양,,20160301,7.5,8.4,14.3,3.6,2.7,8.8,0.06,4.92,4500,6,,
뚝도,,20160301,7.6,7.7,13.2,2.1,2.5,7.6,0.01,3.8,4200,190,,
보광,,20160301,8.1,7.7,12.3,2.9,2.9,8,0.04,5.38,63000,2100,,
암사,,20160301,7.1,7.6,14.1,3.1,2.3,8.2,0.02,3.09,290,3,,
영등포,,20160301,7.1,8.1,13.7,1.3,3.1,10,0.05,4.36,3700,280,,
잠실,,20160301,6.9,7.6,15.6,1.6,2.3,7.8,0.01,3.17,1300,17,,
구의,,20160301,5.7,8.4,13.2,2.3,3.3,7.7,0.04,3.53,130,22,,
노량진,,20160301,5.4,7.9,13.5,3.4,4.3,11.3,0.11,4.72,4900,520,,
안양천9,,20160301,8.6,7.6,9.6,9.3,8.8,20.3,0.19,17.96,32000,3400,,
중랑천3,,20160301,11.2,7.5,12.1,2.5,4.6,5.5,0.13,7.62,,,,
고덕천,,20160301,6.2,8.1,12.1,6.7,4.3,8,0.28,8.51,11000,3000,,
도림천,,20160301,5.7,8.5,13.5,1.5,1.8,1.6,0.04,4.22,16000,450,,
목감천1,,20160301,5.8,8,7.7,3.7,5,3.9,0.15,9.35,34000,2400,,
성내천,,20160301,6.1,7.5,8.1,3.8,3.1,12.3,0.13,4.41,8000,100,,
성북천,,20160301,8.9,7.4,11.4,0.9,1.3,0.9,0.02,4.14,1300,20,,
안양천10,,20160301,7.3,7.8,8.8,5.1,5.4,3.8,0.12,15.89,46000,2100,,
양재천2,,20160301,5.8,7.9,13.8,1.8,2.6,2.1,0.1,6.42,2000,74,,
중랑천4,,20160301,10.2,7.6,12,1.4,3.3,3.2,0.07,7.13,5000,100,,
가양,,20160201,5.8,8,13.8,4.3,4.7,16,0.19,11.9,19000,120,,
중랑천3,,20160201,,,,,,,,,,,,
노량진,,20160201,4.3,8.2,10.1,2.7,4.9,6.8,0.12,8.08,1700,70,,
안양천9,,20160201,,,,,,,,,,,,
중랑천3,,20160201,,,,,,,,,,,,
고덕천,,20160201,4.9,7.8,13.5,5.3,2.7,3.2,0.2,7.67,210000,58000,,
구의,,20160201,3,8,12.9,2.1,3,6,0.04,3.64,3000,410,,
노량진,,20160201,5,7.8,9.6,4.3,5.1,9,0.16,8.71,23000,1000,,
도림천,,20160201,2.4,7.1,12.8,2.5,3.6,2.4,0.11,8.37,6400,1100,,
목감천1,,20160201,5,7.3,11.2,4.9,4.2,2.8,0.12,8.33,80000,43000,,
성내천,,20160201,4,7.6,12.5,3.7,2.7,1.6,0.08,4.22,130000,1900,,
성북천,,20160201,7.8,7.6,12,1.1,1.4,0.4,0.02,4.39,12000,900,,
안양천9,,20160201,7.2,7.5,9.7,11.5,8.3,19.3,0.19,20.68,46000,4200,,
안양천10,,20160201,6.3,7.5,9.1,8.1,5.8,8.4,0.1,16.48,70000,3900,,
양재천2,,20160201,5.5,7.5,14.3,1.7,2.5,2.8,0.07,6.76,50000,1300,,
우이천,,20160201,6.3,7.7,14.1,1.4,2.2,0.8,0.03,8.99,7800,780,,
정릉천,,20160201,9.2,7.6,10.4,0.9,0.9,0.8,0.04,6.77,28000,2400,,
중랑천3,,20160201,8.9,7.8,10.9,4.4,5,7.7,0.12,8.84,,,,
중랑천4,,20160201,9.6,7.7,13.1,2.3,3.6,2,0.08,8.05,42000,1100,,
중랑천5,,20160201,6.3,7.7,13.1,3.4,3.4,2,0.08,8.84,110000,4000,,
중랑천6,,20160201,10.9,7.2,10,8.5,5.4,3.2,0.41,14.29,320000,60000,,
청계천1,,20160201,3.1,7.6,13.5,0.8,1.6,1.6,0.02,4.04,1000,160,,
청계천2,,20160201,4.3,7.8,13.2,1.3,1.6,1.2,0.02,4.23,4400,490,,
청계천3,,20160201,5.1,7.5,13.5,1.6,1.8,1.2,0.05,4.58,13000,960,,
탄천6,,20160201,10.3,7.3,11.4,6.1,5.7,0.8,0.19,12.3,56000,6800,,
홍제천,,20160201,6.5,7.9,12.3,3.4,2,2.4,0.05,10.44,10000,600,,
가양,,20160201,4.4,7.5,11.7,4,4.3,7.5,0.22,11.77,15000,120,,
뚝도,,20160201,4,7.7,13.3,2.7,2.5,5.2,0.05,5.78,40000,1800,,
보광,,20160201,3.9,7.7,13.4,3.1,2.5,4.8,0.05,5.54,190000,1000,,
암사,,20160201,3.9,7.9,13.5,1.6,1.6,4.8,0.02,3.2,4600,29,,
영등포,,20160201,5.3,7.5,9.9,4.5,4.3,7.6,0.21,11.38,66000,640,,
잠실,,20160201,4.1,7.7,15.9,1.7,1.9,5.8,0.03,4.18,32000,350,,
가양,,20160201,5.3,7.7,13.5,4.5,4.8,19.5,0.14,12.07,34000,670,,
구의,,20160201,,,,,,,,,,,,
노량진,,20160201,3.7,7.6,11.8,4.8,6.8,15.8,0.33,12.22,220,40,,
안양천9,,20160201,,,,,,,,,,,,
중랑천3,,20160201,,,,,,,,,,,,
가양,,20160201,1.6,7.7,13.8,4.8,4.8,12.6,0.14,11.66,8400,110,,
구의,,20160201,,,,,,,,,,,,
노량진,,20160201,1.1,8.2,11,3.3,7.3,6.5,0.35,12.44,1100,210,,
안양천9,,20160201,,,,,,,,,,,,
구의,,20160201,,,,,,,,,,,,
홍제천,,20160101,2.6,8.1,13.6,6,1.8,2.4,0.03,11.77,4000,1700,,
탄천6,,20160101,8.5,7.4,9.1,4.3,5,4.8,0.23,11.08,29000,2800,,
구의,,20160101,,,,,,,,,,,,
노량진,,20160101,5.6,8,12.2,4.4,5,10,0.22,11.03,2500,150,,
안양천9,,20160101,,,,,,,,,,,,
중랑천3,,20160101,,,,,,,,,,,,
가양,,20160101,2,8.5,15.8,5.4,5.3,13.7,0.13,10.52,360,12,,
구의,,20160101,,,,,,,,,,,,
노량진,,20160101,0.1,7.7,13.3,3.5,5.8,7.5,0.25,13.19,1200,140,,
안양천9,,20160101,,,,,,,,,,,,
중랑천3,,20160101,,,,,,,,,,,,
구의,,20160101,,,,,,,,,,,,
노량진,,20160101,1,7.9,12.8,4.7,7.1,8.2,0.26,12.61,1300,190,,
안양천9,,20160101,3.1,7.7,10.5,9.9,7.3,10.5,0.16,23.01,13000,2000,,
중랑천3,,20160101,7.3,7.8,12.8,2.4,4.7,4.4,0.11,11.87,,,,
가양,,20160101,0.5,7.9,15.3,6.9,4.3,22,0.14,9.95,930,15,,
가양,,20160101,2.6,8.3,12.8,6.3,4.8,19,0.11,8.98,2600,50,,
뚝도,,20160101,4.3,8,16.1,6.4,4.7,10.2,0.18,10.08,8700,440,,
보광,,20160101,4.9,7.6,12.1,6.8,4.7,9.3,0.26,12.29,62000,1900,,
영등포,,20160101,3.3,8.2,15.5,6.3,5.6,18.3,0.13,8.88,590,12,,
암사,,20160101,3.8,8.2,14.1,1.5,2.1,3,0.02,3.72,190,8,,
잠실,,20160101,2.9,8.3,14.3,6.2,4,10.9,0.08,5.94,2700,62,,
구의,,20160101,,,,,,,,,,,,
노량진,,20160101,3.6,8.4,13.9,5.5,7.5,14.7,0.2,10.46,910,180,,
안양천9,,20160101,,,,,,,,,,,,
중랑천3,,20160101,,,,,,,,,,,,
고덕천,,20160101,3.1,7.9,9.9,4.3,2.4,5.6,0.24,9.28,90000,43000,,
도림천,,20160101,0.5,7.6,13.8,3,3,2,0.05,7.57,1500,60,,
목감천1,,20160101,2.8,7.7,12.7,2.2,3.9,2.4,0.12,8.07,60000,1000,,
성내천,,20160101,2.4,7.9,10.3,1.9,2,2.8,0.04,3.15,13000,500,,
성북천,,20160101,5.5,7.6,13.5,1,1.4,0.8,0.01,3.74,5200,600,,
안양천10,,20160101,3.9,8.1,10.9,6.2,5.4,4.4,0.06,15.9,10000,4000,,
양재천2,,20160101,2.2,7.3,13.6,1.4,2.3,0.8,0.07,7.53,10000,4000,,
우이천,,20160101,4,8.1,12.5,1.3,2.2,1.6,0.01,7.74,3000,160,,
정릉천,,20160101,6.4,7.9,13.1,1,1,1.2,0.03,6.89,12000,3200,,
중랑천4,,20160101,4,7.5,12.4,2,3.6,1.6,0.1,9.13,7000,500,,
중랑천5,,20160101,3.9,7.9,9.5,1.4,2.8,2.4,0.03,8.01,4000,900,,
중랑천6,,20160101,10.4,7.3,7.8,8.2,4.9,10,0.84,15.09,500000,29000,,
청계천1,,20160101,3.1,7.8,13.5,1.2,1.8,2.8,0.01,3.05,320,50,,
청계천2,,20160101,2,7.9,13.8,1.2,1.6,2,0.01,3.18,900,56,,
청계천3,,20160101,2.7,7.9,11.7,2,1.7,0.8,0.02,3.46,1100,13,,
가양,,20160101,4.1,8.7,14.6,5.2,4.3,16.3,0.09,8.1,3900,23,,
노량진,,20151201,4.1,8.5,11.8,2.9,4.8,7.3,0.16,8.87,740,100,,
가양,,20151201,9.1,7.8,9.5,1.5,2.5,23.6,0.21,5.49,1100,43,,
노량진,,20151201,5.8,7.7,11.2,1.8,4.6,4.3,0.14,8.1,2000,95,,
노량진,,20151201,8.1,7.5,9.5,1.5,3.8,5.5,0.17,6.13,4500,680,,
가양,,20151201,7.2,7.6,13.2,2.2,2.7,13.8,0.12,5.7,6000,67,,
노량진,,20151201,8,7.5,8.6,1.9,4,6,0.16,6.31,2800,460,,
구의,,20151201,7.4,7.9,11.8,1.2,3.2,10.3,0.02,3.29,,,,
안양천9,,20151201,11,7.7,8.7,7.4,6.8,1,0.1,13.92,,,,
중랑천3,,20151201,9.6,7.5,11.1,1.8,4.1,5,0.1,8.09,,,,
가양,,20151201,7.1,7.3,8.7,1.2,2.9,7,0.15,6.18,5400,70,,
뚝도,,20151201,7.5,7.7,10.8,1.3,2.5,2.8,0.04,4.7,6000,410,,
보광,,20151201,7.8,7.5,10.4,1.7,2.7,4.2,0.1,5.46,20000,1500,,
영등포,,20151201,7.3,7.5,8.4,1.5,2.6,5,0.16,5.64,3200,55,,
고덕천,,20151201,6,7.6,10.9,3.4,2.4,11.2,0.2,8.05,80000,21000,,
도림천,,20151201,4.6,8.2,13.7,1.5,1.9,1.2,0.06,4.17,7000,500,,
목감천1,,20151201,6.4,8,12.1,1.1,3.6,2.8,0.09,7.92,10000,900,,
성내천,,20151201,4.8,7.2,10.2,2.3,2.1,10.8,0.05,2.79,16000,1100,,
성북천,,20151201,9.9,7.8,11.9,1.4,1.3,2,0.02,3.42,7200,790,,
안양천10,,20151201,8.2,7.9,9.3,2.2,4.5,6.4,0.06,11.54,29000,4300,,
양재천2,,20151201,6.4,7.1,11.6,1.9,2.1,3.2,0.08,6.33,15000,1400,,
우이천,,20151201,7.4,7.5,13.1,1.9,2,1.6,0.05,6.68,9600,480,,
정릉천,,20151201,11.3,8.1,11.8,0.7,1.1,2,0.05,6.48,9100,1800,,
중랑천4,,20151201,10.6,7.2,11.7,1.2,4.8,8.4,0.23,9.32,390000,75000,,
중랑천5,,20151201,7.7,7.3,11.1,1.2,2.8,7.2,0.07,6.98,52000,3100,,
중랑천6,,20151201,13.1,6.9,7.8,2.5,4.7,10,0.56,12.24,120000,18000,,
청계천1,,20151201,7.3,8.2,12.9,0.6,1.6,1.2,0.01,2.62,1200,200,,
청계천2,,20151201,6.5,8.2,13.4,1.2,1.5,1.2,0.02,2.85,1100,90,,
청계천3,,20151201,6.5,8,12.6,1.6,1.6,2,0.02,3.48,9200,320,,
탄천6,,20151201,9.6,7.4,9.8,1.7,4.4,1.6,0.09,9.15,50000,2100,,
홍제천,,20151201,6.9,8.3,13,2.8,1.8,2.4,0.02,10.12,7400,550,,
암사,,20151201,6.9,8.2,13.5,0.8,2.1,3,0.04,2.8,1000,37,,
잠실,,20151201,6.4,8.3,13.1,0.9,1.9,3.6,0.02,2.55,3100,94,,
구의,,20151201,7.1,8.1,11.4,1.3,2.6,4,0.03,2.88,17000,4600,,
노량진,,20151201,7.7,7.5,8.4,2.3,3.8,5.7,0.2,6.42,43000,10000,,
안양천9,,20151201,8.2,7.8,8.8,5.8,5.5,7.6,0.11,9.62,130000,29000,,
중랑천3,,20151201,9.6,7.5,11.1,2.1,3.4,4.5,0.12,7.2,,,,
가양,,20151201,4.3,8.5,15.1,2.9,3.4,11.2,0.12,7.19,17000,94,,
안양천9,,20151101,7.5,8.2,12.2,6,5.9,5.4,0.11,11.81,,,,
가양,,20151101,15.5,7.6,8.6,2.3,3.4,15.8,0.2,7.33,6100,350,,
